,Title,Date,Fragments,Lab/Ops,Principles
10,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,great hypostaticall soule ravishing principles salt sulphur and mercury  magneticall,,1
11,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,ravishing principles salt sulphur and mercury  magneticall phylosophy  atomicall,,1
12,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,hypostaticall soule ravishing principles salt sulphur and mercury  magneticall phylosophy,,1
13,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,of salt at dinner of sulphur in the mange and of,,
14,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,received from them viz of salt at dinner of sulphur in,,
15,"Vindiciæ academiarum containing some briefe animadversions upon Mr Websters book stiled, The examination of academies : together with an appendix concerning what M. Hobbs and M. Dell have published on this argument.",1654-01-01,now and then in the margent as if he quoted a,,
16,"An apologie of the povver and prouidence of God in the gouernment of the world. Or An examination and censure of the common errour touching natures perpetuall and vniuersall decay diuided into foure bookes: whereof the first treates of this pretended decay in generall, together with some preparatiues thereunto. The second of the pretended decay of the heauens and elements, together with that of the elementary bodies, man only excepted. The third of the pretended decay of mankinde in regard of age and duration, of strength and stature, of arts and wits. The fourth of this pretended decay in matter of manners, together with a large proofe of the future consummation of the world from the testimony of the gentiles, and the vses which we are to draw from the consideration thereof. By G.H. D.D.",1627-01-01,the interposition of the planet mercury which hath sometimes appeared as,,
17,"An apologie of the povver and prouidence of God in the gouernment of the world. Or An examination and censure of the common errour touching natures perpetuall and vniuersall decay diuided into foure bookes: whereof the first treates of this pretended decay in generall, together with some preparatiues thereunto. The second of the pretended decay of the heauens and elements, together with that of the elementary bodies, man only excepted. The third of the pretended decay of mankinde in regard of age and duration, of strength and stature, of arts and wits. The fourth of this pretended decay in matter of manners, together with a large proofe of the future consummation of the world from the testimony of the gentiles, and the vses which we are to draw from the consideration thereof. By G.H. D.D.",1627-01-01,piscinas nostras circumdederit nisi aquam argentea epistomia fuderint adhuc plebeias fistulas,,
18,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,at h d the noble salt spirit is a conserver of,,1
19,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,of the warm spirit of sulphur rational men ought to take,,1
20,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,mercury or wa r of sulphur or aqua benedicta the key,,1
21,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,recited mean the principle of sulphur and not common sulphur which,,1
22,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,of sulphur and not common sulphur which receives its name not,,1
23,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,sun exciteth the mercury and sulphur to germinate in the saline,,1
24,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,all things consist of a sulphurous property the visible as the,,1
25,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,and here is the sulphur mercury and salt of high knowing,,1
26,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,all to see they have salt in themselves and not be,,1
27,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,principles of sal sulphur and mercury more or less pure according,,1
28,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,impression also so the inward mercury is the eternal speaking word,,1
29,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,have my several spirits of sulphur mercury and salt frank the,,1
30,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,merid a soul of salt we shall hear of frank,,1
31,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,and for my sulphur and mercury it does wonders as some,,1
32,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,that purpose and for my sulphur and mercury it does wonders,,1
33,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,then for my spirit of salt of the world,,1
34,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,my several spirits of sulphur mercury and salt frank the last,,1
35,"The six days adventure, or, The new Utopia a comedy as it is acted at his Royal Highness the Duke of York's theatre.",1671-01-01,spirits of sulphur mercury and salt frank the last of which,,1
36,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,addition or decrement of either salt sulphur or mercury befalls the,,1
37,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,believe and that the innate salt or ferment of the heart,,1
38,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,water streined through earth some salt and earthy parts which after,1,
39,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,there is such a salino sulphureous spirit which is the universal,,1
40,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,actions of acide spirits upon sulphureous bodies they would affirm that,1,1
41,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,whole sea received all its salt into its self at one,,1
42,"Moffet-well, or, A topographico-spagyricall description of the minerall wells, at Moffet in Annandale of Scotland translated, and much enlarged, by the author Matthew Mackaile ... ; as also, The oyly-well, or, A topographico-spagyricall description of the oyly-well, at St. Catharines Chappel in the paroch of Libberton ; to these is subjoyned, A character of Mr. Culpeper and his writings, by the same author.",1664-01-01,and there be many very sulphureous bodies which are void of,,1
43,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,the elixir  the philosophers sulphur   is most subtile,,1
44,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,two luminaries have their different sulphur and distinct tinctures  the,,1
45,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,or the lunar rke of sulphur luna sitting and reigning gloriously,,1
46,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,done in the creation of sulphur untill it hath drunk four,,1
47,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,nature will not vogel use argent vive alone nor sulphur alone,,1
48,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,waters thou wilt also understand argent vive lull test fo,,
49,"Fasciculus chemicus or Chymical collections. Expressing the ingress, progress, and egress, of the secret hermetick science, out of the choisest and most famous authors. Collected and digested in such an order, that it may prove to the advantage, not onely of beginners, but proficients of this high art, by none hitherto disposed in this method. Whereunto is added, the Arcanum or grand secret of hermetick philosophy. Both made English by James Hasolle, Esquire, qui est Mercuriophilus Anglicus.",1650-01-01,also multiply therefore that invisible sulphur of the philosophers until the,,1
50,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,into the field is a sulphurous and east wind the army,,
51,"New observations on the natural history of this world of matter, and this world of life in two parts : being a philosophical discourse, grounded upon the Mosaick system of the creation and the flood : to which are added some thoughts concerning paradise, the conflagration by Tho. Robinson ...",1696-01-01,ore the less spangled with sulphur and quick silver are those,1,
52,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,salt sales ingenii anger like sulphur affabilitie like mercurie these w,,1
53,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,the covenant of salt for the perpetuitie of it,,1
54,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,salt you that is good salt which keepes your soules from,,1
55,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,the earth salt sulphur and mercury wit is like salt sales,,1
56,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,conversation their salt is lost salt keepes other things from putrefaction,1,
57,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,even a kindling and that sulphureous deluge prepa ed in the,,
58,"A commentary or, exposition vpon the diuine second epistle generall, written by the blessed apostle St. Peter. By Thomas Adams",1633-01-01,because she refused to bring salt to the guests the day,,
59,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,the matter of it is salt and that its fire is,,
60,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,for in its composition that sulphur of saturn will not burn,1,
61,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,see how the heterogeneyties of mercury are discovered which no other,,1
62,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,sulphur which is nothing but mercury vulgar by frequent cohobation of,,1
63,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,the sulphur which is in mercury coagulable and in the mettals,,1
64,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,thou know what that meanes mercury in its pond us and,,1
65,"Chymical, medicinal, and chyrurgical addresses made to Samuel Hartlib, Esquire. Viz. 1. Whether the vrim & thummim were given in the mount, or perfected by art. ... 9. The new postilions, pretended prophetical prognostication, of what shall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,is coagulated in mercury or argent vive it is coagulable in,1,
66,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,other seeing then that the sulphur in quantity excels the mercury,,1
67,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,agree my child take this mercury of saturn so drawn out,,1
68,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,corporally of the spirit of salt this is all the way,,1
69,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,out of benevolent jupiter its salt and sulphur and lettest saturn,,
70,"Of natural & supernatural things also of the first tincture, root, and spirit of metals and minerals, how the same are conceived, generated, brought forth, changed, and augmented / [by] Basilius Valentinus ; translated out of high Dutch by Daniel Cable ; whereunto is added Frier Roger Bacon,  Of the medicine or tincture of antimony; Mr. John Isaac Holland, his Work of Saturn; and Alex. Van Suchten, Of the secrets of antimony.",1671-01-01,in comparison  of that mercury which is found in sol,,1
71,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,with this root bread and salt nay all nations make meat,,
72,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,produced by their sulphur and mercury as of sperm which they,,1
73,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,was the first that prescribed quicksilver to the cure of this,1,
74,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,being wanting we substitute gemmeous salt they mistake that think that,1,
75,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,dilation and the motion of salt is contracting as well as,1,
76,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,seen in the making of salt but i am not of,1,
77,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,in sleeping also quicksilver or mercury will act very wisely as,,1
78,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,such diseases shall after a salt meal find himself in more,1,
79,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,thus that salt sulphur and mercury are the principles into which,,1
80,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,huge and prodigious colosse of mercury at auvergne in france ten,,
81,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,patriarch of constantinople was sirnamed mercury for his eloquence writers say,,
82,"The wonders of the little world, or, A general history of man in six books : wherein by many thousands of examples is shewed what man hath been from the first ages of the world to these times, in respect of his body, senses, passions, affections, his virtues and perfections, his vices and defects, his quality, vocation and profession, and many other particulars not reducible to any of the former heads : collected from the writings of the most approved historians, philosophers, physicians, philologists and others / by Nath. Wanley ...",1673-01-01,hath alwayes lived in the salt water should come out fresh,,
83,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,fixt by the spirit of sulphur its ʋse and vertues tis,,1
84,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,in a greater heat the sulphureous part and volatil salt of,1,
85,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,a flegm impregnated with the salt and sulphur of venus or,1,
86,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,this lixivium draw  the salt of guaiacum to the same,1,
87,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,yet they are not properly salt neither they are but the,,
88,"An apologie for the ministry and its maintenance wherein is set forth the necessity, dignity and efficacy of a gospel-ministry against the Socinians, Swenckfieldians, Weigelians, Anabaptists, Enthusiasts, Familists, Seekers, Quakers, Levellers, Libertines and the rest of that rout ... / by Tho. Hall.",1660-01-01,our brother must correct the salt of correction and the salt,,
