,Title,Date,Fragments,Lab/Ops,Principles
74,"A medicinal dispensatory, containing the whole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals, the manner of compounding medicaments, and the way to administer them : methodically digested in five books of philosophical and pharmaceutical institutions, three books of physical materials galenical and chymical : together with a most perfect and absolute pharmacopoea or apothecaries shop : accommodated with three useful tables / composed by the illustrious Renodæus ... ; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,being wanting we substitute gemmeous salt they mistake that think that,1,
75,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,dilation and the motion of salt is contracting as well as,1,
76,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,seen in the making of salt but i am not of,1,
78,"Philosophical letters, or, Modest reflections upon some opinions in natural philosophy maintained by several famous and learned authors of this age, expressed by way of letters / by the thrice noble, illustrious, and excellent princess the Lady Marchioness of Newcastle.",1664-01-01,such diseases shall after a salt meal find himself in more,1,
84,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,in a greater heat the sulphureous part and volatil salt of,1,
85,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,a flegm impregnated with the salt and sulphur of venus or,1,
86,The art of chymistry as it is now practiced / written in French by P. Thibaut ... ; and now translated into English by a fellow of the Royal Society.,1675-01-01,this lixivium draw  the salt of guaiacum to the same,1,
94,"Fides-Anglicana, or, A plea for the publick-faith of these nations lately pawned, forfeited and violated by some of their former trustees to the rendering it as infamous as fides-punica was heretofore : it is humbly offered to consideration in a petitionary remonstrance to all in authority on the behalf of many thousands to whom securities were given upon the said public-faith and was prepared to have been put forth during the sitting of the last Parliament ... / by the author George Wither.",1660-01-01,hither hony oyl saffron wood salt silver and you send us,1,
115,"[Pharmako-basanos]: or, The touch-stone of medicines. Discovering the vertues of [brace] vegetables, minerals, & animals, by their tastes & smells. : In two volumes. / By Sir John Floyer ...",1687-01-01,the calves maw dried and salted will not so well curdle,1,
118,"The paradoxal discourses of F.M. Van Helmont concerning the macrocosm and microcosm, or, The greater and lesser world and their union set down in writing by J.B. and now published.",1685-01-01,mixture in it of combustible sulphur that is by art perceptible,1,
120,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,so fixt a body as salt of tartar by additaments i,1,
121,Experimental notes of the mechanical origine or production of fixtness.,1675-01-01,make use of spirit of salt because at least if it,1,
161,"Chymical, medicinal, and chyrurgical addresses: made to Samuel Hartlib, Esquire. Viz. 1. Whether the Vrim and Thummim were given in the Mount, or perfected by art. 2. Sir George Ripley's epistle, to King Edward unfolded. 3. Gabriel Plats caveat for alchymists. 4. A conference concerning the phylosophers stone. 5. An invitation to a free and generous communication of secrets and receits in physick. 6 Whether or no, each several disease hath a particular remedy? 7. A new and easie method of chirurgery, for the curing of all fresh wounds or other hurts. 8. A discourse about the essence or existence of metals. 9. The new postilions, pretended prophetical prognostication, of what whall happen to physitians, chyrurgeons, apothecaries, alchymists, and miners.",1655-01-01,will drink up no more quicksilver then are the filings burst,1,
166,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,to be referred to coagulated salts not to stones or excrements,1,
167,"A ternary of paradoxes the magnetick cure of wounds, nativity of tartar in wine, image of God in man / written originally by Joh. Bapt. Van Helmont and translated, illustrated and amplified by Walter Charleton.",1650-01-01,access of a lixivial traumatick salt it remaineth onely that we,1,
168,"New experiments, and observations, made upon the icy noctiluca imparted in a letter to a friend living in the country : to which is annexed A chymical paradox / by Robert Boyle.",1682-01-01,what family or sort of salts the saline part of our,1,
179,"A medicinal dispensatory, containing the vvhole body of physick discovering the natures, properties, and vertues of vegetables, minerals, & animals: the manner of compounding medicaments, and the way to administer them. Methodically digested in five books of philosophical and pharmaceutical institutions; three books of physical materials galenical and chymical. Together with a most perfect and absolute pharmacopoea or apothecaries shop. Accommodated with three useful tables. Composed by the illustrious Renodæus, chief physician to the monarch of France; and now Englished and revised, by Richard Tomlinson of London, apothecary.",1657-01-01,purges both the biles and salt phlegm vires and thence conduces,1,
181,"Alex. Van Suchten Of the secrets of antimony in two treatises. Translated out of high-Dutch by Dr. C. a person of great skill in chymistry. To which is added B. Valentine's salt of antimony, with its use.",1670-01-01,valentine how to make the salt of antimony powder good hungarian,1,
184,"Hydrologia chymica, or, The chymical anatomy of the Scarbrough, and other spaws in York-Shire wherein are interspersed some animadversions upon Dr. Wittie's lately published treatise of the Scarbrough-spaw : also a short description of the spaws at Malton and Knarsbrough : and a discourse concerning the original of hot springs and other fountains : with the causes and cures of most of the stubbornest diseases ... : also a vindication of chymical physick ... : lastly is subjoyned an appendix of the original of springs ... / by W. Simpson.",1669-01-01,feverish delirium imitates the narcotick sulphur of opium or rather as,1,
192,"A vindication of chymistry, and chymical medicines Courteous and candid reader, chymistry, is an art that doth both teach and inable us (for our exceeding good and benefit) to seperate purity from impurity; ...",1676-01-01,use of oyl of vitrial salt brimstone and that dangerous vomit,1,
193,"The arraignment of vrines vvherein are set downe the manifold errors and abuses of ignorant vrine-mongring empirickes, cozening quacksaluers, women-physitians, and the like stuffe ... Collected and gathered as well out of the most ancient, as the moderne and late physitians of our time: and written first in the Latine tongue, and diuided into three bookes by Peter Forrest D. in Physicke ... And for the benefit of our British nations newly epitomized, and translated into our English tongue by Iames Hart Dr. of the foresaid faculty, and residing in the towne of Northampton.",1623-01-01,cough proceeding from a thinne salt rheume with spitting of bloud,1,
200,"A short description and vindication of the true sal volatile oleosum.Of the ancients wherein 'tis prov'd the great medicine of the spirits; and consequently, an universal remedy. By T. Byfield, M.D.",1699-01-01,blood is a fine volatil salt what more similar and uniform,1,
201,"The art of glass wherein are shown the wayes to make and colour glass, pastes, enamels, lakes, and other curiosities / written in Italian by Antonio Neri ; and translated into English, with some observations on the author ; whereunto is added an account of the glass drops made by the Royal Society, meeting at Gresham College.",1662-01-01,one to another for all salts have their determinate figure which,1,
204,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,is the red spirit of mercury for expelling the universal disease,1,
205,"Bazilica chymica, & Praxis chymiatricæ, or, Royal and practical chymistry in three treatises : wherein all those excellent medicines and chymical preparations are fully discovered, from whence all our modern chymists have drawn their choicest remedies : being a translation of Oswald Crollius, his Royal chymistry, augmented and inlarged by John Hartman : to which is added his Treatise of signatures of internal things, or, A true and lively anatomy of the greater and lesser world : as also, The practice of chymistry of John Hartman, M.D., augmented and inlarged by his son / all faithfully Englished by a lover of chymistry.",1670-01-01,it rather acts upon the sulphur then the mercurial liquor in,1,
208,"A new treatise of natural philosophy, free'd from the intricacies of the schools adorned with many curious experiments both medicinal and chymical : as also with several observations useful for the health of the body.",1687-01-01,to be the spirit of salt  and vitriol to separate,1,
210,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,with a sufficient quantity of unsalted lard make it into an,1,%
211,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,excellent remedy against fluxes take unsalted butter boyl it gently till,1,
212,"Medicinal experiments, or, A collection of choice and safe remedies for the most part simple and easily prepared, useful in families, and very serviceable to country people / by R. Boyle ; to which is annexed a catalogue of his theological and philosophical books and tracts.",1693-01-01,half a dram pouder the salts finely and incorporate them very,1,
213,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,will find at last the salts resolved into a liquor in,1,
214,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,bottom adding j of new sulphur vive then sublime in the,1,
215,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,upon it the spirit of sulphur you distilled off and distill,1,
216,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,salt take ounce xiv of salt and vij of spirit and,1,
217,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,put but lbss of this salt into each retort deflegm it,1,
218,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,is perfectly fundant another fusible salt dissolve salt in rain water,1,
219,Chymical secrets and rare experiments in physick & philosophy with figures collected and experimented / by the Honourable and learned Sir Kenelm Digby ...,1683-01-01,a white spirit of sulphur to dissolve and given me,1,
220,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,by the mixture of the salt of the water of le,1,
221,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,sulphurous salt mixt with common salt this sulphurous salt was so,1,
222,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,remain d of earth and salt after distillation was found like,1,
223,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,first this acidity whereon the sulphurous salts may act the contrary,1,
224,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,leafy earth without any manifest salt of the water of the,1,
225,Observations on the mineral waters of France made in the Royal Academy of the Sciences / by the Sieur Du Clos.,1684-01-01,the water of pougues this salt being melted in a crucible,1,
226,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,mercury antimony c and corrosive salts as vitrial nitre tarter bay,1,
227,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,of the spirit and volatile salt of the ingredients which contains,1,
228,"A letter in answer to certain quæries and objections made by a learned Galenist against the theorie and practice of chymical physick wherein the right method of curing of diseases is demonstrated, the possibility of universal medicine evinced, and chymical physick vindicated / by George Acton ...",1670-01-01,vitriol tartre nitre and bay salt you may draw a menstruum,1,
229,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,have sublimed it from common salt and the calx of eggs,1,
230,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,thought of the sublimation of mercury by mineral spirits for the,1,
231,"Paracelsus his Aurora, & treasure of the philosophers· As also the water-stone of the wise men; describing the matter of, and manner how to attain the universal tincture. Faithfully Englished· And published by J. H. Oxon.",1659-01-01,red fixt sulphur to which sulphur a third part of the,1,
232,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,fiery sharp as pepper bitter salt acid or sour acerbous putrid,0,
233,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,colour  the whiteness of mercury sublimate corrosive and of mercury,1,
234,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,out of mines and that mercury is convertible into gold if,1,
235,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,fortified by a rectification upon salt armoniack chymical furnace hunters do,1,
236,"Archelogia philosophica nova, or, New principles of philosophy containing philosophy in general, metaphysicks or ontology, dynamilogy or a discourse of power, religio philosophi or natural theology, physicks or natural philosophy / by Gideon Harvey ...",1663-01-01,salt salt gemmae saltpeter allume salt armoniack and vitriol common salt,1,
237,"An apologie of the povver and prouidence of God in the gouernment of the world. Or An examination and censure of the common errour touching natures perpetuall and vniuersall decay diuided into foure bookes: whereof the first treates of this pretended decay in generall, together with some preparatiues thereunto. The second of the pretended decay of the heauens and elements, together with that of the elementary bodies, man only excepted. The third of the pretended decay of mankinde in regard of age and duration, of strength and stature, of arts and wits. The fourth of this pretended decay in matter of manners, together with a large proofe of the future consummation of the world from the testimony of the gentiles, and the vses which we are to draw from the consideration thereof. By G.H. D.D.",1627-01-01,seene for the making of saltpeter in edward the thirds time,1,
238,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,sol your prepared and edulcarated mercury must be warm d in,1,
239,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,it be sublimed wi common salt then it purgeth and cleareth,1,
240,"Basilius Valentinus, monk, of the Order of St. Bennet: his last will and testament Which being alone, he hid under a table of marble, behinde the high-altar of the Cathedral Church, in the Imperial City of Erford: leaving it there to be found by him, whom Gods providence should make worthy of it. Wherein, he sufficiently, declares the wayes he wrought to obtain the philosophers stone: which he taught unto his fellow collegians, so that they all attained the said philosophers stone, whereby not onely the leprous bodies of the impure, and inferior metals are reduced unto the pure and perfect body of gold and silver, but also all manner of diseases whatsoever are cured in the bodies of unhealthfull men, and kept thereby in perfect health unto the prolonging of their lives. A work long expected.",1658-01-01,issue the rem ining grosse salt is separated and excerned by,1,
241,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,but also all the alcalizate salts i have imploy d as,1,
242,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,examine whether or no the salt predominant in a liquor or,1,
243,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,a milk white precipitate of mercury into a yellow by affusion,1,
244,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,likewise of alcalizate and acid salts and in what particulars colours,1,
245,"Experiments and considerations touching colours first occasionally written, among some other essays to a friend, and now suffer'd to come abroad as the beginning of an experimental history of colours / by the Honourable Robert Boyle ...",1664-01-01,d by and with the salts that concurr to the composition,1,
246,"Jacob Behmen's theosophick philosophy unfolded in divers considerations and demonstrations, shewing the verity and utility of the several doctrines or propositions contained in the writings of that divinely instructed author : also, the principal treatises of the said author abridged, and answers given to the remainder of the 177 theosophick questions, propounded by the said Jacob Behmen, which were left unanswered by him at the time of his death : as a help towards the better understanding the Old and New Testament : also what man is with respect to time and eternity, being an open gate to the great mysteries / by Edward Taylor ; with a short account of the life of Jacob Behmen.",1691-01-01,savour wherewith shall it be salted of the tincture comes the,1,
247,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,the nature of a fixt salt and are really turned into,1,
248,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,totally reduced to an aequiponderant salt and this into insipid water,1,
249,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,perfectly freed from the volatile salt that tis yet impregnated with,1,
250,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,this acid cast a little sulphur upon the salt when tis,1,
251,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,which aqua fortis spirit of salt and other acid spirits also,1,
252,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,do always afford less fixt salt than green ones whence it,1,
253,"Curiosities in chymistry being new experiments and observations concerning the principles of natural bodies / written by a person of honour ; and published by his operator, H.G.",1691-01-01,be reviv d into running mercury by being distill d from,1,
254,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,to joyn with the added salts the metalline part will be,1,
255,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,have divers times separated a salt from oyle of vitriol it,1,
256,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,calcin d lead the acid salt of the liquor will by,1,
257,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,caustick lixiviate tast of other salts made by incineration but because,1,
258,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,as the steames of common salt c of a saline and,1,
259,"The [s]ceptical chymist, or, Chymico-physical doubts & paradoxes touching the spagyrist's principles commonly call'd hypostatical, [a]s they are wont to be propos'd and defended by the generality of alchymists : whereunto is præmis'd part of another discourse relating to the same subject / by the Honourable Robert Boyle.",1661-01-01,the power of coagulation to sulphur as well odours as inflamableness,1,
260,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,hereafter one pound grinde these saltes together with the mercury so,1,
261,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,vineger to make the aforesaid salts fol   to draw,1,
262,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,take   of the salt halfe a scruple theriaca alexandria,1,
263,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,crusible and put therein the mercury and set it on the,1,
264,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,plates and cover them with sulphur then lay another bed and,1,
265,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,pater nosters and then the salt will seeth away and the,1,
266,"The secrets of physick and philosophy divided into two bookes: in the first is shewed the true and perfect order to distill, or draw forth the oyles of all manner of gummes, spices, seedes, roots, and hearbs, with their perfect taste, smell and vertues. In the second is shewed the true and perfect order to prepare, calcine, sublime, and dissolue all manner of minerals, and how ye shall draw forth their oyles and salts, which are most wonderfull in their operations, for the health of mans bodie. First written in the German tongue by the most learned Theophrastus Paraselsus, and now published in the English tongue, by Iohn Hester, practitioner in the art of distillation.",1633-01-01,in bailneo mariae and the salt will remaine in the bottome,1,
267,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,or deprest and the gross salts either being disjoin d from,1,
268,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,their effects by their volatil salts ib unnumbered why it is,1,
269,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,chymistry in affirming that the sulphur is lighter med p,1,
270,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,person asserts is that nitro sulphureous spirits or salts are as,1,
271,"The chymical Galenist a treatise, wherein the practise of the ancients is reconcild́ to the new discoveries in the theory of physick, shewing that many of their rules, methods, and medicins, are useful for by George Castle ...",1667-01-01,highly exalted for the vitriolick salt of steel in which much,1,
